map_name,has_translation
16-Bit LE,yes
2000 Atmospheres LE,yes
Abiogenesis LE,yes
Abyssal Reef,yes
Abyssal Reef LE,yes
Acid Plant LE,yes
Acropolis LE,yes
Alcyone LE,yes
Altitude LE,yes
Amphion LE,yes
Amygdala,yes
Ancient Cistern LE,yes
Apotheosis LE,yes
Artosis' Pylon Show Micro Map 2021,yes
Ascension to Aiur LE,yes
Automaton LE,yes
Babylon LE,yes
Backwater LE,yes
Battle on the Boardwalk LE,yes
Beckett Industries LE,yes
Bel'Shir Vestige LE (Void),yes
Berlingrad LE,yes
Blackburn LE,yes
Blackpink LE,yes
Blood Boil LE,yes
Blueshift LE,yes
Cactus Valley LE (Void),yes
Catalyst LE,yes
Central Protocol,yes
Cerulean Fall LE,yes
Cloud Kingdom LE,yes
Concord LE,yes
Cosmic Sapphire,yes
Crimson Court LE,yes
Curious Minds LE,yes
Cyber Forest LE,yes
Darkness Sanctuary LE,yes
Dasan Station LE,yes
Data-C,yes
Daybreak LE (Void),yes
Deathaura LE,yes
Defender's Landing LE,yes
Disco Bloodbath LE,yes
Dragon Scales LE,yes
Dreamcatcher LE,yes
Dusk Towers,yes
Dynasty LE,yes
Eastwatch LE,yes
El Dorado,yes
Ephemeron LE,yes
Eternal Empire LE,yes
Ever Dream LE,yes
Fracture LE,yes
Frost LE,yes
Frost LE (Void),yes
Frostline LE,yes
Frozen Temple,yes
Galactic Process LE,yes
Ghost River LE,yes
Glittering Ashes LE,yes
Golden Wall LE,yes
Goldenaura LE,yes
Gresvan LE,yes
Hard Lead LE,yes
Hardwire LE,yes
Hecate LE,yes
Honorgrounds LE,yes
Ice and Chrome LE,yes
Inside and Out,yes
Jagannatha,yes
Jagannatha LE,yes
Kairos Junction LE,yes
King Sejong Station LE,yes
King's Cove LE,yes
Lava Flow,yes
Lerilak Crest,yes
Ley Lines,yes
Lightshade LE,yes
Lost and Found LE,yes
Moondance,yes
NeoHumanity LE,yes
Neon Violet Square LE,yes
New Gettysburg LE,yes
New Repugnancy LE,yes
Newkirk Precinct TE (Void),yes
Nightshade LE,yes
Oceanborn LE,yes
Odyssey LE,yes
Orbital Shipyard,yes
Overgrown Facility,yes
Overgrowth LE (Void),yes
Oxide LE,yes
Para Site LE,yes
Pillars of Gold LE,yes
Port Aleksander LE,yes
Post-Youth LE,yes
Pride of Altaris LE,yes
Prion Terraces,yes
Proxima Station LE,yes
Purity and Industry LE,yes
Radhuset Station LE,yes
Redshift LE,yes
Rhoskallian LE,yes
Romanticide LE,yes
Royal Blood LE,yes
Ruins of Seras,yes
Sequencer LE,yes
Simulacrum LE,yes
Site Delta LE,yes
Solaris LE,yes
Stargazers,yes
Stasis LE,yes
Submarine LE,yes
TEST__DOCUMENT,yes
Thunderbird LE,yes
Triton LE,yes
Tropical Sacrifice,yes
Turbo Cruise '84 LE,yes
Ulrena,yes
Ultralove,yes
Waterfall,yes
Whispers of Gold,yes
Whitewater Line LE,yes
Winter's Gate LE,yes
World of Sleepers LE,yes
Year Zero LE,yes
Zen LE,yes
[ESL] Alcyone,yes
[ESL] Altitude,yes
[ESL] Amphion,yes
[ESL] Ancient Cistern,yes
[ESL] Babylon,yes
[ESL] Berlingrad,yes
[ESL] Blackburn,yes
[ESL] Cosmic Sapphire,yes
[ESL] Crimson Court,yes
[ESL] Curious Minds,yes
[ESL] Data-C,yes
[ESL] Dragon Scales,yes
[ESL] Dynasty,yes
[ESL] Equilibrium,yes
[ESL] Ghost River,yes
[ESL] Glittering Ashes,yes
[ESL] Goldenaura,yes
[ESL] Gresvan,yes
[ESL] Hard Lead,yes
[ESL] Hardwire,yes
[ESL] Hecate,yes
[ESL] Inside and Out,yes
[ESL] Moondance,yes
[ESL] NeoHumanity,yes
[ESL] Oceanborn,yes
[ESL] Post-Youth,yes
[ESL] Pride of Altaris,yes
[ESL] Radhuset Station,yes
[ESL] Royal Blood,yes
[ESL] Site Delta,yes
[ESL] Solaris,yes
[ESL] Stargazers,yes
[ESL] Tropical Sacrifice,yes
[ESL] Waterfall,yes
[EWC] Alcyone,yes
[EWC] Amphion,yes
[EWC] Crimson Court,yes
[EWC] Dynasty,yes
[EWC] Ghost River,yes
[EWC] Goldenaura,yes
[EWC] Oceanborn,yes
[EWC] Post-Youth,yes
[EWC] Site Delta,yes
[G8] Altitude,yes
[G8] Ancient Cistern,yes
[G8] Babylon,yes
[G8] Dragon Scales,yes
[G8] Gresvan,yes
[G8] NeoHumanity,yes
[G8] Royal Blood,yes
[M] Moondance,yes
[M] Oceanborn,yes
[Official] The Hunters,yes
[TLMC14] Blackburn,yes
[TLMC15] Berlingrad,yes
[TLMC15] Curious Minds,yes
[TLMC15] Glittering Ashes,yes
[TLMC15] Hardwire,yes
[TLMC15] Pride of Altaris,yes
[TLMC16] Moondance,yes
[TLMC16] Tropical Sacrifice,yes
