tournament_dir,total_replays,has_events,missing_events,null_timestamp,event_coverage_pct,player_count_anomalies,result_anomalies
2021_Dreamhack_SC2_Masters_Winter,802,802.0,0.0,0.0,100.0,0.0,0.0
2018_Cheeseadelphia_8,64,64.0,0.0,0.0,100.0,0.0,0.0
2022_HomeStory_Cup_XXI,91,91.0,0.0,0.0,100.0,0.0,0.0
2021_Cheeseadelphia_Winter_Championship,73,73.0,0.0,0.0,100.0,0.0,1.0
2020_StayAtHome_Story_Cup_2,237,237.0,0.0,0.0,100.0,0.0,0.0
2016_IEM_11_Shanghai,60,60.0,0.0,0.0,100.0,0.0,0.0
2022_Dreamhack_SC2_Masters_Last_Chance2021,355,355.0,0.0,0.0,100.0,0.0,1.0
2017_WCS_Jonkoping,332,332.0,0.0,0.0,100.0,0.0,0.0
2022_IEM_Katowice,263,263.0,0.0,0.0,100.0,0.0,0.0
2022_TSL9,181,181.0,0.0,0.0,100.0,0.0,0.0
2024_StaraZagora_BellumGensElite,95,95.0,0.0,0.0,100.0,0.0,0.0
2024_03_ESL_SC2_Masters_Spring_Finals,264,264.0,0.0,0.0,100.0,2.0,1.0
2018_WCS_Leipzig,420,420.0,0.0,0.0,100.0,0.0,1.0
2019_IEM_Katowice,440,440.0,0.0,0.0,100.0,0.0,1.0
2018_HomeStory_Cup_XVII,343,343.0,0.0,0.0,100.0,0.0,1.0
2020_Dreamhack_SC2_Masters_Fall,799,799.0,0.0,0.0,100.0,0.0,1.0
2021_StayAtHome_Story_Cup_3,183,183.0,0.0,0.0,100.0,0.0,0.0
2017_WCS_Austin,399,399.0,0.0,0.0,100.0,0.0,0.0
2021_IEM_Katowice,261,261.0,0.0,0.0,100.0,0.0,0.0
2020_ASUS_ROG_Online,107,107.0,0.0,0.0,100.0,0.0,0.0
2022_03_DH_SC2_Masters_Atlanta,1296,1296.0,0.0,0.0,100.0,0.0,0.0
2019_WCS_Grand_Finals,111,111.0,0.0,0.0,100.0,0.0,0.0
2019_WCS_Spring,540,540.0,0.0,0.0,100.0,0.0,0.0
2020_TSL6,121,121.0,0.0,0.0,100.0,0.0,0.0
2018_HomeStory_Cup_XVIII,352,352.0,0.0,0.0,100.0,0.0,0.0
2019_HomeStory_Cup_XX,317,317.0,0.0,0.0,100.0,0.0,0.0
2018_IEM_Katowice,444,444.0,0.0,0.0,100.0,0.0,1.0
2021_StayAtHome_Story_Cup_4,210,210.0,0.0,0.0,100.0,0.0,0.0
2022_HomeStory_Cup_XXII,285,285.0,0.0,0.0,100.0,0.0,0.0
2023_04_ESL_SC2_Masters_Summer_Finals,698,698.0,0.0,0.0,100.0,0.0,0.0
2020_StayAtHome_Story_Cup_1,172,172.0,0.0,0.0,100.0,0.0,0.0
2021_Dreamhack_SC2_Masters_Summer,791,791.0,0.0,0.0,100.0,0.0,0.0
2023_01_IEM_Katowice,260,260.0,0.0,0.0,100.0,0.0,0.0
2017_HomeStory_Cup_XVI,249,249.0,0.0,0.0,100.0,2.0,1.0
2017_WCS_Global_Finals,45,45.0,0.0,0.0,100.0,0.0,0.0
2017_WCS_Montreal,242,242.0,0.0,0.0,100.0,0.0,0.0
2019_WCS_Winter,469,469.0,0.0,0.0,100.0,0.0,0.0
2017_HomeStory_Cup_XV,107,107.0,0.0,0.0,100.0,0.0,0.0
2018_WCS_Valencia,410,410.0,0.0,0.0,100.0,0.0,1.0
2018_WESG_Grand_Finals,313,313.0,0.0,0.0,100.0,0.0,0.0
2024_HomeStory_Cup_XXVI,171,171.0,0.0,0.0,100.0,0.0,0.0
2019_HomeStory_Cup_XIX,330,330.0,0.0,0.0,100.0,1.0,1.0
2018_IEM_PyeongChang,62,62.0,0.0,0.0,100.0,0.0,0.0
2022_Dreamhack_SC2_Masters_Valencia,1094,1094.0,0.0,0.0,100.0,0.0,1.0
2024_01_IEM_Katowice,422,422.0,0.0,0.0,100.0,0.0,0.0
2016_WCS_Winter,465,465.0,0.0,0.0,100.0,0.0,0.0
2018_WCS_Austin,406,406.0,0.0,0.0,100.0,0.0,0.0
2019_WCS_Fall,601,601.0,0.0,0.0,100.0,0.0,0.0
2020_IEM_Katowice,438,438.0,0.0,0.0,100.0,0.0,0.0
2020_TSL5,185,185.0,0.0,0.0,100.0,4.0,2.0
2024_HomeStory_Cup_XXV,175,175.0,0.0,0.0,100.0,0.0,0.0
2023_05_Gamers8,122,122.0,0.0,0.0,100.0,0.0,0.0
2016_IEM_10_Taipei,30,30.0,0.0,0.0,100.0,0.0,0.0
2018_WCS_Global_Finals,72,72.0,0.0,0.0,100.0,0.0,0.0
2019_WCS_Summer,596,596.0,0.0,0.0,100.0,0.0,0.0
2017_IEM_Shanghai,81,81.0,0.0,0.0,100.0,0.0,0.0
2021_TSL7,132,132.0,0.0,0.0,100.0,0.0,0.0
2021_TSL8,165,165.0,0.0,0.0,100.0,0.0,0.0
2023_07_ESL_SC2_Masters_Winter_Finals,270,270.0,0.0,0.0,100.0,0.0,0.0
2018_WCS_Montreal,442,442.0,0.0,0.0,100.0,0.0,0.0
2019_Assembly_Summer,169,169.0,0.0,0.0,100.0,0.0,0.0
2017_IEM_XI_World_Championship_Katowice,409,409.0,0.0,0.0,100.0,3.0,0.0
2024_05_EWC,154,154.0,0.0,0.0,100.0,1.0,0.0
2021_Dreamhack_SC2_Masters_Fall,786,786.0,0.0,0.0,100.0,0.0,0.0
2017_WESG_Barcelona,135,135.0,0.0,0.0,100.0,0.0,1.0
2020_Dreamhack_SC2_Masters_Summer,783,783.0,0.0,0.0,100.0,0.0,1.0
2021_ASUS_ROG_Fall,78,78.0,0.0,0.0,100.0,0.0,1.0
2023_HomeStory_Cup_XXIV,167,167.0,0.0,0.0,100.0,0.0,0.0
2017_WESG_Haikou,165,165.0,0.0,0.0,100.0,0.0,0.0
2020_05_Dreamhack_Last_Chance,84,84.0,0.0,0.0,100.0,0.0,0.0
