lower_nick,n_toon_ids,n_regions,n_server_tuples,regions
serral,42,5,5,"China,Europe,Korea,US,Unknown"
showtime,39,5,5,"China,Europe,Korea,US,Unknown"
scarlett,36,5,6,"China,Europe,Korea,US,Unknown"
special,35,5,5,"China,Europe,Korea,US,Unknown"
elazer,35,5,5,"China,Europe,Korea,US,Unknown"
neeb,33,5,5,"China,Europe,Korea,US,Unknown"
kelazhur,32,4,4,"China,Europe,US,Unknown"
heromarine,32,4,4,"Europe,Korea,US,Unknown"
reynor,30,5,5,"China,Europe,Korea,US,Unknown"
maru,29,5,5,"China,Europe,Korea,US,Unknown"
lambo,28,4,4,"China,Europe,US,Unknown"
harstem,27,4,4,"China,Europe,US,Unknown"
dark,27,5,5,"China,Europe,Korea,US,Unknown"
clem,26,3,3,"Europe,US,Unknown"
mana,26,4,4,"China,Europe,US,Unknown"
time,25,5,6,"China,Europe,Korea,US,Unknown"
has,25,5,6,"China,Europe,Korea,US,Unknown"
dns,24,4,4,"China,Europe,US,Unknown"
solar,24,5,5,"China,Europe,Korea,US,Unknown"
uthermal,24,4,4,"China,Europe,US,Unknown"
ptitdrogo,23,4,4,"China,Europe,US,Unknown"
nice,22,5,5,"China,Europe,Korea,US,Unknown"
bly,21,4,4,"China,Europe,US,Unknown"
cham,21,4,4,"Europe,Korea,US,Unknown"
byun,21,5,5,"China,Europe,Korea,US,Unknown"
namshar,20,4,4,"China,Europe,US,Unknown"
hero,20,5,5,"China,Europe,Korea,US,Unknown"
nerchio,20,4,4,"China,Europe,US,Unknown"
astrea,20,3,3,"Europe,Korea,US"
cure,19,4,4,"Europe,Korea,US,Unknown"
rogue,19,5,5,"China,Europe,Korea,US,Unknown"
bunny,18,5,5,"China,Europe,Korea,US,Unknown"
gumiho,18,5,5,"China,Europe,Korea,US,Unknown"
shadown,18,3,3,"Europe,US,Unknown"
probe,17,4,4,"China,Europe,US,Unknown"
sortof,17,4,4,"China,Europe,US,Unknown"
gerald,17,3,3,"Europe,US,Unknown"
spirit,16,2,2,"Europe,US"
classic,16,5,5,"China,Europe,Korea,US,Unknown"
stats,16,5,5,"China,Europe,Korea,US,Unknown"
cyan,16,5,6,"China,Europe,Korea,US,Unknown"
masa,16,4,4,"China,Europe,US,Unknown"
snute,16,5,5,"China,Europe,Korea,US,Unknown"
tyty,15,5,5,"China,Europe,Korea,US,Unknown"
zest,15,4,4,"Europe,Korea,US,Unknown"
trap,15,4,4,"Europe,Korea,US,Unknown"
skillous,14,3,3,"Europe,US,Unknown"
creator,14,3,3,"Europe,US,Unknown"
innovation,14,5,5,"China,Europe,Korea,US,Unknown"
true,14,3,3,"Europe,US,Unknown"
soul,13,3,3,"Europe,US,Unknown"
soo,13,5,5,"China,Europe,Korea,US,Unknown"
stephano,13,4,4,"China,Europe,US,Unknown"
ziggy,13,3,3,"Europe,US,Unknown"
zanster,13,3,3,"Europe,US,Unknown"
hellraiser,12,3,4,"Europe,US,Unknown"
drg,12,3,3,"Europe,Korea,US"
jonsnow,12,4,4,"China,Europe,US,Unknown"
ragnarok,12,4,4,"Europe,Korea,US,Unknown"
pilipili,11,2,2,"US,Unknown"
sos,11,4,4,"Europe,Korea,US,Unknown"
future,11,3,3,"Europe,US,Unknown"
ryung,10,3,3,"Europe,US,Unknown"
goblin,10,2,2,"Europe,US"
risky,10,4,4,"China,Europe,US,Unknown"
dolan,10,3,3,"Europe,US,Unknown"
