tournament_dir,event_type,avg_per_replay,median_per_replay,is_outlier
2016_IEM_10_Taipei,PlayerSetup,2.0,2,False
2016_IEM_11_Shanghai,PlayerSetup,2.0,2,False
2016_WCS_Winter,PlayerSetup,2.0,2,False
2017_HomeStory_Cup_XV,PlayerSetup,2.0,2,False
2017_HomeStory_Cup_XVI,PlayerSetup,2.0,2,False
2017_IEM_Shanghai,PlayerSetup,2.0,2,False
2017_IEM_XI_World_Championship_Katowice,PlayerSetup,2.0,2,False
2017_WCS_Austin,PlayerSetup,2.0,2,False
2017_WCS_Global_Finals,PlayerSetup,2.0,2,False
2017_WCS_Jonkoping,PlayerSetup,2.0,2,False
2017_WCS_Montreal,PlayerSetup,2.0,2,False
2017_WESG_Barcelona,PlayerSetup,2.0,2,False
2017_WESG_Haikou,PlayerSetup,2.0,2,False
2018_Cheeseadelphia_8,PlayerSetup,2.0,2,False
2018_HomeStory_Cup_XVII,PlayerSetup,2.0,2,False
2018_HomeStory_Cup_XVIII,PlayerSetup,2.0,2,False
2018_IEM_Katowice,PlayerSetup,2.0,2,False
2018_IEM_PyeongChang,PlayerSetup,2.0,2,False
2018_WCS_Austin,PlayerSetup,2.0,2,False
2018_WCS_Global_Finals,PlayerSetup,2.0,2,False
2018_WCS_Leipzig,PlayerSetup,2.0,2,False
2018_WCS_Montreal,PlayerSetup,2.0,2,False
2018_WCS_Valencia,PlayerSetup,2.0,2,False
2018_WESG_Grand_Finals,PlayerSetup,2.0,2,False
2019_Assembly_Summer,PlayerSetup,2.0,2,False
2019_HomeStory_Cup_XIX,PlayerSetup,2.0,2,False
2019_HomeStory_Cup_XX,PlayerSetup,2.0,2,False
2019_IEM_Katowice,PlayerSetup,2.0,2,False
2019_WCS_Fall,PlayerSetup,2.0,2,False
2019_WCS_Grand_Finals,PlayerSetup,2.0,2,False
2019_WCS_Spring,PlayerSetup,2.0,2,False
2019_WCS_Summer,PlayerSetup,2.0,2,False
2019_WCS_Winter,PlayerSetup,2.0,2,False
