# Overall percentiles
n,mean,median,p01,p05,p10,p25,p75,p90,p95,p99
22390,11.98,10.85,3.34,4.94,6.1,8.27,14.43,19.03,22.52,31.31

# By-year percentiles
year,n,mean,median,p01,p05,p10,p25,p75,p90,p95,p99
2016,555,11.16,10.59,3.34,4.9,5.89,7.98,13.45,16.66,20.23,27.14
2017,1999,11.4,10.46,2.58,4.44,5.53,7.84,13.83,18.11,20.98,29.68
2018,3180,11.09,10.15,3.13,4.62,5.64,7.62,13.37,17.45,20.51,28.72
2019,3886,11.56,10.43,3.37,4.88,5.99,8.01,13.86,18.17,21.48,29.74
2020,2842,12.18,11.18,2.96,4.9,6.1,8.52,14.58,19.22,22.7,30.85
2021,3836,12.46,11.33,3.44,5.36,6.53,8.67,14.91,19.75,23.26,32.28
2022,3294,12.5,11.15,3.65,5.13,6.21,8.38,15.44,20.06,23.78,32.73
2023,1752,12.76,11.43,3.83,5.68,6.65,8.87,15.18,19.91,23.81,35.98
2024,1046,12.62,11.31,3.7,5.29,6.64,8.52,15.21,20.23,24.36,31.97

# Full histogram (1-min bins, 0-60 min)
bin_minute,count
0,30
1,20
2,102
3,357
4,647
5,946
6,1299
7,1734
8,2033
9,2161
10,2157
11,1827
12,1649
13,1313
14,1088
15,889
16,741
17,627
18,516
19,424
20,320
21,256
22,231
23,196
24,152
25,114
26,90
27,85
28,60
29,40
30,48
31,32
32,27
33,20
34,19
35,22
36,12
37,12
38,11
39,10
40,12
41,7
42,9
43,8
44,6
45,5
46,2
47,1
49,2
51,3
52,2
53,1
54,2
55,2
59,1

# Short-tail histogram (30s bins, 0-10 min)
bin_30s,count
0.0,24
0.5,6
1.0,7
1.5,13
2.0,20
2.5,82
3.0,142
3.5,215
4.0,292
4.5,355
5.0,435
5.5,511
6.0,631
6.5,668
7.0,799
7.5,935
8.0,950
8.5,1083
9.0,1087
9.5,1074
