event_type,json_key,is_nested
PlayerSetup,evtTypeName,False
PlayerSetup,id,False
PlayerSetup,loop,False
PlayerSetup,playerId,False
PlayerSetup,slotId,False
PlayerSetup,type,False
PlayerSetup,userId,False
PlayerStats,evtTypeName,False
PlayerStats,id,False
PlayerStats,loop,False
PlayerStats,playerId,False
PlayerStats,stats,True
UnitBorn,controlPlayerId,False
UnitBorn,creatorAbilityName,False
UnitBorn,creatorAbilityName,False
UnitBorn,creatorUnitTagIndex,False
UnitBorn,creatorUnitTagIndex,False
UnitBorn,creatorUnitTagRecycle,False
UnitBorn,creatorUnitTagRecycle,False
UnitBorn,evtTypeName,False
UnitBorn,id,False
UnitBorn,loop,False
UnitBorn,unitTagIndex,False
UnitBorn,unitTagRecycle,False
UnitBorn,unitTypeName,False
UnitBorn,upkeepPlayerId,False
UnitBorn,x,False
UnitBorn,y,False
UnitDied,evtTypeName,False
UnitDied,id,False
UnitDied,killerPlayerId,False
UnitDied,killerPlayerId,False
UnitDied,killerUnitTagIndex,False
UnitDied,killerUnitTagIndex,False
UnitDied,killerUnitTagRecycle,False
UnitDied,killerUnitTagRecycle,False
UnitDied,loop,False
UnitDied,unitTagIndex,False
UnitDied,unitTagRecycle,False
UnitDied,x,False
UnitDied,y,False
UnitDone,evtTypeName,False
UnitDone,id,False
UnitDone,loop,False
UnitDone,unitTagIndex,False
UnitDone,unitTagRecycle,False
UnitInit,controlPlayerId,False
UnitInit,evtTypeName,False
UnitInit,id,False
UnitInit,loop,False
UnitInit,unitTagIndex,False
UnitInit,unitTagRecycle,False
UnitInit,unitTypeName,False
UnitInit,upkeepPlayerId,False
UnitInit,x,False
UnitInit,y,False
UnitOwnerChange,controlPlayerId,False
UnitOwnerChange,evtTypeName,False
UnitOwnerChange,id,False
UnitOwnerChange,loop,False
UnitOwnerChange,unitTagIndex,False
UnitOwnerChange,unitTagRecycle,False
UnitOwnerChange,upkeepPlayerId,False
UnitPositions,evtTypeName,False
UnitPositions,firstUnitIndex,False
UnitPositions,id,False
UnitPositions,items,True
UnitPositions,loop,False
UnitTypeChange,evtTypeName,False
UnitTypeChange,id,False
UnitTypeChange,loop,False
UnitTypeChange,unitTagIndex,False
UnitTypeChange,unitTagRecycle,False
UnitTypeChange,unitTypeName,False
Upgrade,count,False
Upgrade,evtTypeName,False
Upgrade,id,False
Upgrade,loop,False
Upgrade,playerId,False
Upgrade,upgradeTypeName,False
