artifact_path,artifact_kind,step_id,size_bytes,last_modified,references_deleted_symbols,disposition
src/rts_predict/sc2/reports/sc2egset/artifacts/00_01_source_audit.json,data_json,00_01,103,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_02_tournament_name_validation.txt,other,00_02,8794,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_03_replay_id_spec.md,report_md,00_03,862,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_04_path_a_smoke_test.md,report_md,00_04,260,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_05_full_ingestion_log.txt,other,00_05,193,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_07_path_b_extraction_log.txt,other,00_07,219,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_08_join_validation.md,report_md,00_08,242,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/00_09_map_translation_coverage.csv,data_csv,00_09,3808,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_01_corpus_summary.json,data_json,01_01,301,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_01_duplicate_detection.md,report_md,01_01,23055,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_01_player_count_anomalies.csv,data_csv,01_01,2142,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_01_result_field_audit.md,report_md,01_01,1796,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_02_parse_quality_by_tournament.csv,data_csv,01_02,3951,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_02_parse_quality_summary.md,report_md,01_02,6075,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_03_duration_distribution.csv,data_csv,01_03,1400,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_03_duration_distribution_full.png,other,01_03,53926,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_03_duration_distribution_short_tail.png,other,01_03,52874,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_04_apm_mmr_audit.md,report_md,01_04,3822,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_05_patch_landscape.csv,data_csv,01_05,4046,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_06_event_count_distribution.csv,data_csv,01_06,536,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_06_event_density_by_tournament.csv,data_csv,01_06,34237,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_06_event_density_by_year.csv,data_csv,01_06,2286,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_06_event_type_inventory.csv,data_csv,01_06,431,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_07_playerstats_sampling_check.csv,data_csv,01_07,8490,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_08_error_flags_audit.csv,data_csv,01_08,71,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_08_game_settings_audit.md,report_md,01_08,15492,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09D_playerstats_stats_field_inventory.csv,data_csv,01_09D,1315,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09D_tracker_event_data_field_inventory.csv,data_csv,01_09D,2207,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09D_tracker_event_data_key_constancy.csv,data_csv,01_09D,1288,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09E_game_event_data_field_inventory.csv,data_csv,01_09E,3825,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09E_game_event_data_key_constancy.csv,data_csv,01_09E,505,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09F_event_schema_reference.md,report_md,01_09F,3906,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09F_parquet_duckdb_schema_reconciliation.md,report_md,01_09F,839,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09_toplevel_field_inventory.csv,data_csv,01_09,518,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09_tpdm_field_inventory.csv,data_csv,01_09,178,2026-04-08T19:34:54,,archive
src/rts_predict/sc2/reports/sc2egset/artifacts/01_09_tpdm_key_set_constancy.csv,data_csv,01_09,238,2026-04-08T19:34:54,,archive
